,Name,Price,Stores,Rating,Votes,Type,Connection,Colors,Switches
183,Alcatroz Airpad 1 Black,21.40 ,7,2.0,1,Keyboard with Touchpad,USB,2,
184,Alcatroz Airpad 1 White,21.07 ,10,2.0,1,Keyboard with Touchpad,USB,2,
185,Alcatroz Jellybean U2000 Peach,11.04 ,8,4.0,1,Keyboard and Mouse Set,USB,5,
186,Logitech K380 Off-White,44.85 ,2,4.7,39,Keyboard Only,Bluetooth,3,
187,Microsoft Surface Go Signature Type Cover,119.00 ,2,0.0,0,Keyboard with Touchpad,Dock,2,
188,Alcatroz Xplorer Go BT100,13.98 ,5,0.0,0,Keyboard Only,Bluetooth,2,
189,Microsoft Surface Pro Signature Type Cover Ice Blue,139.00 ,4,0.0,0,Keyboard with Touchpad,Dock,6,
190,Xiaomi MIIIW White,31.55 ,4,4.0,4,Keyboard and Mouse Set,USB,2,
191,Alcatroz Jellybean U2000 Black/Red,11.04 ,7,4.0,1,Keyboard and Mouse Set,USB,5,
192,Xiaomi Wireless Keyboard And Mouse Set,28.90 ,2,0.0,0,Keyboard and Mouse Set,Bluetooth,0,
193,Element KB-150U,7.00 ,3,4.4,9,Keyboard Only,USB,0,
194,Touchglobal K06,17.00 ,2,0.0,0,Keyboard and Mouse Set,Bluetooth / Dock,0,
195,XtremeMac Bluetooth Numpad Calculator,69.23 ,8,0.0,0,Keyboard Only,Bluetooth,0,
196,Alcatroz Jellybean A2000 Mint,18.20 ,5,0.0,0,Keyboard and Mouse Set,USB,0,
197,Andowl QY-K08,16.90 ,3,0.0,0,Keyboard Only,Bluetooth,0,
198,Titanum TK109,8.01 ,5,0.0,0,Keyboard and Mouse Set,USB,0,
199,Viboton i8 Plus,16.70 ,2,0.0,0,Keyboard with Touchpad,Bluetooth,0,
200,Andowl QY-K01 White,14.90 ,0,0.0,0,Keyboard Only,USB,0,
201,Matias Wired Aluminum Tenkeyless Keyboard for Mac Silver,46.99 ,2,0.0,0,Keyboard Only,USB,0,
202,KeySonic ACK-595C+,36.00 ,0,5.0,1,Keyboard Only,USB,0,
203,Matias Wireless Aluminum Keyboard Space Gray,82.84 ,2,0.0,0,Keyboard Only,Bluetooth,0,
204,Tracer Octavia II Nano,13.02 ,3,5.0,1,Keyboard and Mouse Set,USB,0,
205,Trust Classicline Wired Keyboard and Mouse,13.67 ,6,3.5,2,Keyboard and Mouse Set,USB,0,
206,Logic LK-12,4.27 ,3,5.0,1,Keyboard Only,USB,0,
207,DAS Keyboard 4 Professional for Mac,149.68 ,2,0.0,0,Keyboard Only,USB,0,
208,Matias Wired Aluminum Keyboard for Mac Space Gray,60.54 ,2,0.0,0,Keyboard Only,USB,0,
209,Silicone Keyboard Ροζ,9.00 ,2,0.0,0,Keyboard Only,USB,0,
