,Name,Price,Stores,Rating,Votes,Type,Connection,Colors
52,Lamtech LAM081710,7.18 ,9,4.4,8,Keyboard Only,USB,0
53,Wireless QWERTY Keyboard Black,10.96 ,4,4.8,6,Keyboard with Touchpad,USB,0
54,MediaRange Multimedia,7.60 ,13,5.0,1,Keyboard Only,USB,0
55,Riitek Mini k18+,37.90 ,2,5.0,2,Keyboard with Touchpad,USB,0
56,Logitech Desktop MK120,14.21 ,39,4.1,11,Keyboard and Mouse Set,USB,0
57,Logitech Wireless Combo MK235,20.23 ,34,3.1,27,Keyboard and Mouse Set,USB,0
58,Ultra Thin Slim Mini Bluetooth 3.0,9.52 ,15,3.9,30,Keyboard Only,Bluetooth,0
59,Riitek mini X1,19.90 ,12,5.0,5,Keyboard with Touchpad,USB,0
60,Element KB-145UMS,7.50 ,24,0.0,0,Keyboard and Mouse Set,USB,0
61,HP Pavilion 400,26.37 ,13,5.0,1,Keyboard and Mouse Set,USB,0
62,Riitek Rii i8X,27.00 ,5,4.4,11,Keyboard Only,USB,0
63,Logitech Craft Wireless Keyboard,196.80 ,14,4.0,13,Keyboard Only,Bluetooth / USB,0
64,i8 Black,7.50 ,17,0.0,0,Keyboard with Touchpad,USB,0
65,Logitech K780 Multi-Device,99.99 ,18,3.8,16,Keyboard Only,Bluetooth,0
66,Defender HM-430,6.16 ,7,5.0,1,Keyboard Only,USB,0
67,Riitek Rii mini i8+ Black,26.90 ,0,4.5,18,Keyboard with Touchpad,USB,0
68,Microsoft Wireless Comfort Desktop 5050,59.87 ,14,4.2,12,Keyboard and Mouse Set,USB,0
69,Keywin Mini Rii i8+,8.99 ,3,4.5,2,Keyboard with Touchpad,Bluetooth,0
70,Element KB-260WMS v2,12.90 ,12,4.1,9,Keyboard and Mouse Set,USB,0
71,Conceptum CBM502,7.22 ,12,3.8,5,Keyboard and Mouse Set,USB,0
72,Nedis KBNM100BK,7.97 ,21,4.0,1,Keyboard Only,USB,0
73,Element KB-145U,4.50 ,21,0.0,0,Keyboard Only,USB,0
74,Logitech MK540 Advanced,62.41 ,11,4.0,4,Keyboard Only,USB,0
75,Tracer Reef,6.75 ,2,5.0,2,Keyboard Only,USB,0
76,Element KB-150UMS v2.0,8.80 ,0,4.8,4,Keyboard and Mouse Set,USB,0
77,NOD Valuepro KMS-002,8.90 ,29,0.0,0,Keyboard and Mouse Set,USB,0
78,HP Pavilion 300,22.05 ,17,3.5,4,Keyboard Only,USB,0
79,Turbo-X MC 110 Red,12.90 ,0,5.0,1,Keyboard and Mouse Set,USB,0
80,Dell KM7120W,72.73 ,10,4.0,1,Keyboard and Mouse Set,Bluetooth,0
81,Microsoft Desktop 600 for Business,22.99 ,8,4.5,4,Keyboard and Mouse Set,USB,0
82,Element KB-800W,19.50 ,28,2.3,3,Keyboard Only,USB,0
83,Element KB-150U v2.0,8.90 ,0,5.0,2,Keyboard Only,USB,0
84,Microsoft Wireless Desktop 3050,49.30 ,19,3.7,18,Keyboard and Mouse Set,USB,0
85,Natec NKL-0968,26.30 ,3,4.3,6,Keyboard with Touchpad,USB,0
86,Alcatroz Xplorer Dock 2 BT White,34.67 ,4,4.9,7,Keyboard with Touchpad,Bluetooth / Dock,2
87,Microsoft Surface Go Signature Type Cover Black,102.05 ,11,5.0,1,Keyboard Only,Dock,2
88,Logitech K400 Plus White,39.50 ,7,4.3,62,Keyboard with Touchpad,USB,2
89,Microsoft Wired Keyboard 600 White,13.95 ,17,3.9,37,Keyboard Only,USB,2
90,Mobilis Retro Black,27.14 ,5,5.0,1,Keyboard Only,USB,2
91,Logitech MK470 White,46.70 ,4,4.3,4,Keyboard and Mouse Set,USB,2
92,Logitech MK470 Graphite,46.93 ,10,4.3,4,Keyboard and Mouse Set,USB,2
